phone_number,name,formatted_address,website,rating,user_ratings_total,business_status,types
,Charlotte Holiday Lights,"3540 Toringdon Way Suite 200 245, Charlotte, NC 28277, United States",,5,1,OPERATIONAL,"point_of_interest, establishment"
,Charlotte Christmas Village,"324 S Mint St, Charlotte, NC 28202, United States",,3.5,95,OPERATIONAL,"lodging, point_of_interest, establishment"
,Holiday Light Installers,"2915 Lake Dr, Charlotte, NC 28269, United States",,5,11,OPERATIONAL,"point_of_interest, establishment"
,Southern Christmas Show,"The Park Expo and Conference Center, 800 Briar Creek Rd, Charlotte, NC 28205, United States",,4.3,681,OPERATIONAL,"point_of_interest, establishment"
,Charlotte Trimlight,"3716 Providence Rd S, Waxhaw, NC 28173, United States",,4.9,35,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Light Fixture Outlet,"414 Foster Ave, Charlotte, NC 28203, United States",,4.6,36,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Christmastown USA,"212 Wesleyan Dr, McAdenville, NC 28101, United States",,4.6,779,OPERATIONAL,"lodging, point_of_interest, establishment"
,The Christmas Team,"6636 E W.T. Harris Blvd, Charlotte, NC 28215, United States",,4.8,62,OPERATIONAL,"store, point_of_interest, establishment"
,Marvelous Lights,"1105 Technology Dr unit d, Indian Trail, NC 28079, United States",,5,87,OPERATIONAL,"general_contractor, store, point_of_interest, establishment"
,Carolina Holiday Light Spectacular,"11611 N Community House Rd, Charlotte, NC 28277, United States",,0,0,OPERATIONAL,"point_of_interest, establishment"
,charlotteELF LLC,"631 Ennis Rd, Waxhaw, NC 28173, United States",,5,2,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Southern Lightscapes,"3909 Miriam Dr, Charlotte, NC 28205, United States",,5,260,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Lighting & Bulbs Unlimited,"4335 Monroe Rd, Charlotte, NC 28205, United States",,4.9,174,OPERATIONAL,"home_goods_store, general_contractor, store, point_of_interest, establishment"
,Speedway Christmas Lights Winterfest Christmas Village at the Charlotte Motor Speedway,"5571 Concord Pkwy S, Concord, NC 28027, United States",,2.4,80,OPERATIONAL,"point_of_interest, establishment"
,J. Landon Decorative Lighting,"2504 Dunavant St, Charlotte, NC 28203, United States",,4.8,32,OPERATIONAL,"home_goods_store, general_contractor, store, point_of_interest, establishment"
,Modern Lighting Design Store,"2226 Hawkins St, Charlotte, NC 28203, United States",,4.4,81,OPERATIONAL,"furniture_store, home_goods_store, store, point_of_interest, establishment"
,Christmas Decor North Charlotte,"11521 Reames Rd B, Charlotte, NC 28269, United States",,0,0,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Lights On Indian Beech,"9592 Indian Beech Ave NW, Concord, NC 28027, United States",,5,6,OPERATIONAL,"point_of_interest, establishment"
,National Christmas Tree,"15th St NW &, E St NW, Washington, DC 20500, United States",,4,804,OPERATIONAL,"tourist_attraction, point_of_interest, establishment"
,Twistmas Lights,"310 M St NW, Washington, DC 20001, United States",,0,0,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Illuminations Inc. (Studio by appointment only.),"Studio by appointment only, 308 Florida Ave NW, Washington, DC 20001, United States",,4.7,6,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Visual Comfort & Co.,"1831 14th St NW, Washington, DC 20009, United States",,4.2,23,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Winter Lights Festival,"11950 Clopper Rd, Gaithersburg, MD 20878, United States",,4.1,204,CLOSED_TEMPORARILY,"point_of_interest, establishment"
,Indy Christmas Light Pro's,"2201 E 46th St Ste 132, Indianapolis, IN 46205, United States",,4.9,47,OPERATIONAL,"general_contractor, store, point_of_interest, establishment"
,Christmas Nights of Lights,"1101 42nd St, Indianapolis, IN 46205, United States",,4.5,45,OPERATIONAL,"amusement_park, point_of_interest, establishment"
,Christmas Lights Indy,"4840 E 23rd St, Indianapolis, IN 46218, United States",,5,1,OPERATIONAL,"store, point_of_interest, establishment"
,USA Lighting,"6349 Shanghai Rd, Indianapolis, IN 46278, United States",,5,150,OPERATIONAL,"general_contractor, store, point_of_interest, establishment"
,Christmas Light Installers,"5335 Helena Ave, Indianapolis, IN 46237, United States",,4.9,38,OPERATIONAL,"store, point_of_interest, establishment"
,Lightin Up,"4021 W 71st St, Indianapolis, IN 46268, United States",,5,13,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Indiana Light Show,"1900 E Broadway St, Ingalls, IN 46048, United States",,4.6,35,OPERATIONAL,"point_of_interest, establishment"
,Indiana Lighting Center,"8060 Shadeland Ave, Indianapolis, IN 46250, United States",,3.8,58,OPERATIONAL,"general_contractor, home_goods_store, store, point_of_interest, establishment"
,Christmas of Lights,"5990 N CR 550 E, Pittsboro, IN 46167, United States",,4.9,16,OPERATIONAL,"store, point_of_interest, establishment"
,Lightin UP,"4451 Old Allisonville Rd, Indianapolis, IN 46205, United States",,5,1,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Blingle Premier Lighting,"5777 Park Plaza Ct, Indianapolis, IN 46220, United States",,5,42,OPERATIONAL,"general_contractor, home_goods_store, store, point_of_interest, establishment"
,Lighthouse Outdoor Lighting and Audio of Indianapolis,"545 Christy Dr #7206, Greenwood, IN 46143, United States",,4.9,31,OPERATIONAL,"general_contractor, point_of_interest, establishment"
,Gleam Electrical and Lighting Design,"5644 S Meridian St Suite D, Indianapolis, IN 46217, United States",,5,205,OPERATIONAL,"electrician, general_contractor, point_of_interest, establishment"
,Indianapolis Christmas Carnival,"7010 E Raymond St, Indianapolis, IN 46239, United States",,4.3,120,OPERATIONAL,"point_of_interest, establishment"
,The Lampliter,"9559 Valparaiso Ct, Indianapolis, IN 46268, United States",,5,86,OPERATIONAL,"general_contractor, home_goods_store, store, point_of_interest, establishment"
,Second Nature Lighting,"10814 Deandra Dr A, Zionsville, IN 46077, United States",,4.9,29,OPERATIONAL,"general_contractor, store, point_of_interest, establishment"
