name,address,rating,phone,website,city,state
Light Up Your Holidays,"2211 W Foster Ave, Chicago, IL 60625, United States",4.9,(312) 728-8499,https://lightupyourholidays.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,Chicago,IL
Light Up Your Holidays,"10 E Delaware Pl, Chicago, IL 60611, United States",5,(312) 883-1561,http://www.lightupyourholidays.com/,Chicago,IL
Holiday Bright Lights,"4342 Di Paolo Center, Glenview, IL 60025, United States",5,(312) 226-8281,https://www.holidaybrightlights.com/,Chicago,IL
American Holiday Lights,"6813 Hobson Valley Dr STE 101, Woodridge, IL 60517, United States",4.5,(630) 769-9999,https://americanholidaylights.com/,Chicago,IL
Christmas lights in Chicago Ridge,"10936 Lyman Ave, Chicago Ridge, IL 60415, United States",4.4,N/A,N/A,Chicago,IL
Lightology,"215 W Chicago Ave, Chicago, IL 60654, United States",4.6,(866) 954-4489,https://www.lightology.com/,Chicago,IL
Windy City Lights Inc.,"333 Charles Ct STE 101, West Chicago, IL 60185, United States",5,(630) 293-3509,http://www.windycitylights.com/,Chicago,IL
Northern Holiday Lighting,"1101 Midway Rd, Northbrook, IL 60062, United States",5,(847) 242-1386,https://www.chicagolandholidaylighting.com/,Chicago,IL
Hangout Lighting,"450 N Leavitt St, Chicago, IL 60612, United States",4.7,(224) 817-4101,http://www.hangoutlighting.com/,Chicago,IL
Chicago Christmas Tree,"Chicago, IL 60601, United States",4.6,N/A,N/A,Chicago,IL
NiteLights Holiday Lighting,"9925 W 143rd St, Orland Park, IL 60462, United States",5,(708) 351-4526,https://nitelightsofchicago.com/,Chicago,IL
Illuminight Holiday Lighting,"954 1st St Unit 394, Highland Park, IL 60035, United States",1,(312) 685-4448,https://www.illuminightlights.com/,Chicago,IL
GL LED US LIGHTING,"2996 S Archer Ave, Chicago, IL 60608, United States",4.4,(312) 600-9363,http://www.glledus.com/,Chicago,IL
“NaperLights” Holiday Lights Display,"120 Water St, Naperville, IL 60540, United States",4.3,N/A,https://naperlights.com/,Chicago,IL
Visual Comfort & Co.,"444 N Wells St, Chicago, IL 60654, United States",4.7,(312) 321-1869,https://www.visualcomfort.com/chicago/,Chicago,IL
